cell,species,Landuse
7712667,Medicago sativa,OpenWetRich
7712668,Medicago sativa,OpenWetRich
7712669,Medicago sativa,OpenWetRich
7712670,Medicago sativa,OpenWetRich
7712671,Medicago sativa,OpenWetRich
7712672,Medicago sativa,OpenWetRich
7712673,Medicago sativa,OpenWetRich
7712674,Medicago sativa,OpenWetRich
7712675,Medicago sativa,OpenWetRich
7712676,Medicago sativa,OpenWetRich
7712677,Medicago sativa,OpenWetRich
7712678,Medicago sativa,OpenWetRich
7712679,Medicago sativa,OpenWetRich
7712680,Medicago sativa,OpenWetRich
7712681,Medicago sativa,OpenWetRich
7712682,Medicago sativa,OpenWetRich
7712683,Medicago sativa,OpenWetRich
7712684,Medicago sativa,OpenWetRich
7712685,Medicago sativa,OpenWetRich
7712686,Medicago sativa,OpenWetRich
7712687,Medicago sativa,OpenWetRich
7712688,Medicago sativa,OpenWetRich
7712689,Medicago sativa,OpenWetRich
7712690,Medicago sativa,OpenWetRich
7712691,Medicago sativa,OpenWetRich
7712692,Medicago sativa,OpenWetRich
7712693,Medicago sativa,OpenWetRich
7712694,Medicago sativa,OpenWetRich
7712695,Medicago sativa,OpenWetRich
7712696,Medicago sativa,OpenWetRich
7712697,Medicago sativa,OpenWetRich
7712698,Medicago sativa,OpenWetRich
7712699,Medicago sativa,OpenWetRich
7712700,Medicago sativa,OpenWetRich
7712701,Medicago sativa,OpenWetRich
7712702,Medicago sativa,OpenWetRich
7712703,Medicago sativa,OpenWetRich
7712704,Medicago sativa,OpenWetRich
7712705,Medicago sativa,OpenWetRich
7712706,Medicago sativa,OpenWetRich
7712707,Medicago sativa,OpenWetRich
7712708,Medicago sativa,OpenWetRich
7712709,Medicago sativa,OpenWetRich
7712710,Medicago sativa,OpenWetRich
7712711,Medicago sativa,OpenWetRich
7712712,Medicago sativa,OpenWetRich
7712713,Medicago sativa,OpenWetRich
7712714,Medicago sativa,OpenWetRich
7712715,Medicago sativa,OpenWetRich
7712716,Medicago sativa,OpenWetRich
7712717,Medicago sativa,OpenWetRich
7715363,Medicago sativa,OpenWetRich
7715364,Medicago sativa,OpenWetRich
7715365,Medicago sativa,OpenWetRich
7715366,Medicago sativa,OpenWetRich
7715367,Medicago sativa,OpenWetRich
7715368,Medicago sativa,OpenWetRich
7715369,Medicago sativa,OpenWetRich
7715370,Medicago sativa,OpenWetRich
7715371,Medicago sativa,OpenWetRich
7715372,Medicago sativa,OpenWetRich
7715373,Medicago sativa,OpenWetRich
7715374,Medicago sativa,OpenWetRich
7715375,Medicago sativa,OpenWetRich
7715376,Medicago sativa,OpenWetRich
7715377,Medicago sativa,OpenWetRich
7715378,Medicago sativa,OpenWetRich
7715379,Medicago sativa,OpenWetRich
7715380,Medicago sativa,OpenWetRich
7715381,Medicago sativa,OpenWetRich
7715382,Medicago sativa,OpenWetRich
7715383,Medicago sativa,OpenWetRich
7715384,Medicago sativa,OpenWetRich
7715385,Medicago sativa,OpenWetRich
7715386,Medicago sativa,OpenWetRich
7715387,Medicago sativa,OpenWetRich
7715388,Medicago sativa,OpenWetRich
7715389,Medicago sativa,OpenWetRich
7715390,Medicago sativa,OpenWetRich
7715391,Medicago sativa,OpenWetRich
7715392,Medicago sativa,OpenWetRich
7715393,Medicago sativa,OpenWetRich
7715394,Medicago sativa,OpenWetRich
7715395,Medicago sativa,OpenWetRich
7715396,Medicago sativa,OpenWetRich
7715397,Medicago sativa,OpenWetRich
7715398,Medicago sativa,OpenWetRich
7715399,Medicago sativa,OpenWetRich
7715400,Medicago sativa,OpenWetRich
7715401,Medicago sativa,OpenWetRich
7715402,Medicago sativa,OpenWetRich
7715403,Medicago sativa,OpenWetRich
7715404,Medicago sativa,OpenWetRich
7715405,Medicago sativa,OpenWetRich
7715406,Medicago sativa,OpenWetRich
7715407,Medicago sativa,OpenWetRich
7715408,Medicago sativa,OpenWetRich
7715409,Medicago sativa,OpenWetRich
7715410,Medicago sativa,OpenWetRich
7715411,Medicago sativa,OpenWetRich
7715412,Medicago sativa,OpenWetRich
7715413,Medicago sativa,OpenWetRich
7715414,Medicago sativa,OpenWetRich
7715415,Medicago sativa,OpenWetRich
7715416,Medicago sativa,OpenWetRich
7715417,Medicago sativa,OpenWetRich
7715418,Medicago sativa,OpenWetRich
7715419,Medicago sativa,OpenWetRich
7718062,Medicago sativa,OpenWetRich
7718063,Medicago sativa,OpenWetRich
7718064,Medicago sativa,OpenWetRich
7718065,Medicago sativa,OpenWetRich
7718066,Medicago sativa,OpenWetRich
7718067,Medicago sativa,OpenWetRich
7718068,Medicago sativa,OpenWetRich
7718069,Medicago sativa,OpenWetRich
7718070,Medicago sativa,OpenWetRich
7718071,Medicago sativa,OpenWetRich
7718072,Medicago sativa,OpenWetRich
7718073,Medicago sativa,OpenWetRich
7718074,Medicago sativa,OpenWetRich
7718075,Medicago sativa,OpenWetRich
7718076,Medicago sativa,OpenWetRich
