cell,species,Landuse
7491318,Luzula campestris,ForestDryRich
7491319,Luzula campestris,ForestDryRich
7491320,Luzula campestris,ForestDryRich
7491361,Luzula campestris,ForestDryRich
7491362,Luzula campestris,ForestDryRich
7491363,Luzula campestris,ForestDryRich
7491364,Luzula campestris,ForestDryRich
7491365,Luzula campestris,ForestDryRich
7491366,Luzula campestris,ForestDryRich
7491367,Luzula campestris,ForestDryRich
7491368,Luzula campestris,ForestDryRich
7491369,Luzula campestris,ForestDryRich
7491370,Luzula campestris,ForestDryRich
7491371,Luzula campestris,ForestDryRich
7491372,Luzula campestris,ForestDryRich
7491373,Luzula campestris,ForestDryRich
7491374,Luzula campestris,ForestDryRich
7491375,Luzula campestris,ForestDryRich
7491376,Luzula campestris,ForestDryRich
7491377,Luzula campestris,ForestDryRich
7491378,Luzula campestris,ForestDryRich
7491379,Luzula campestris,ForestDryRich
7491380,Luzula campestris,ForestDryRich
7494014,Luzula campestris,ForestDryRich
7494015,Luzula campestris,ForestDryRich
7494016,Luzula campestris,ForestDryRich
7494017,Luzula campestris,ForestDryRich
7494018,Luzula campestris,ForestDryRich
7494019,Luzula campestris,ForestDryRich
7494020,Luzula campestris,ForestDryRich
7494061,Luzula campestris,ForestDryRich
7494062,Luzula campestris,ForestDryRich
7494063,Luzula campestris,ForestDryRich
7494064,Luzula campestris,ForestDryRich
7494065,Luzula campestris,ForestDryRich
7494066,Luzula campestris,ForestDryRich
7494067,Luzula campestris,ForestDryRich
7494068,Luzula campestris,ForestDryRich
7494069,Luzula campestris,ForestDryRich
7494070,Luzula campestris,ForestDryRich
7494071,Luzula campestris,ForestDryRich
7494072,Luzula campestris,ForestDryRich
7494073,Luzula campestris,ForestDryRich
7494074,Luzula campestris,ForestDryRich
7494075,Luzula campestris,ForestDryRich
7494076,Luzula campestris,ForestDryRich
7494077,Luzula campestris,ForestDryRich
7494078,Luzula campestris,ForestDryRich
7494079,Luzula campestris,ForestDryRich
7494080,Luzula campestris,ForestDryRich
7496713,Luzula campestris,ForestDryRich
7496714,Luzula campestris,ForestDryRich
