"";"Taxa";"matched_name2";"confidence";"canonicalName";"kingdom";"phylum";"class";"order";"family";"genus";"species";"rank"
"46";"equisetum arvense l.";"Equisetum arvense";99;"Equisetum arvense";"Plantae";"Tracheophyta";"Polypodiopsida";"Equisetales";"Equisetaceae";"Equisetum";"Equisetum arvense";"SPECIES"
"47";"myosotis scorpioides l.";"Myosotis scorpioides";97;"Myosotis scorpioides";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Myosotis";"Myosotis scorpioides";"SPECIES"
"48";"valeriana sambucifolia subsp. sambucifolia";"Valeriana sambucifolia sambucifolia";98;"Valeriana sambucifolia sambucifolia";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Valeriana";"Valeriana sambucifolia";"SUBSPECIES"
"49";"carex disticha huds.";"Carex disticha";97;"Carex disticha";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex disticha";"SPECIES"
"50";"eleocharis palustris (l.) roem. & schult.";"Eleocharis palustris";97;"Eleocharis palustris";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Eleocharis";"Eleocharis palustris";"SPECIES"
"51";"equisetum fluviatile l.";"Equisetum fluviatile";99;"Equisetum fluviatile";"Plantae";"Tracheophyta";"Polypodiopsida";"Equisetales";"Equisetaceae";"Equisetum";"Equisetum fluviatile";"SPECIES"
"52";"galium palustre l.";"Galium palustre";97;"Galium palustre";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Galium";"Galium palustre";"SPECIES"
"53";"lolium perenne l.";"Lolium perenne";98;"Lolium perenne";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Lolium";"Lolium perenne";"SPECIES"
"54";"agrostis stolonifera l.";"Agrostis stolonifera";97;"Agrostis stolonifera";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Agrostis";"Agrostis stolonifera";"SPECIES"
"55";"lysimachia nummularia l.";"Lysimachia nummularia";99;"Lysimachia nummularia";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericales";"Primulaceae";"Lysimachia";"Lysimachia nummularia";"SPECIES"
"56";"persicaria amphibia (l.) delarbre";"Persicaria amphibia";97;"Persicaria amphibia";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Persicaria";"Persicaria amphibia";"SPECIES"
"57";"schedonorus pratensis (huds.) p.beauv.";"Schedonorus pratensis";98;"Schedonorus pratensis";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Lolium";"Lolium pratense";"SPECIES"
"58";"mentha aquatica l.";"Mentha aquatica";98;"Mentha aquatica";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Mentha";"Mentha aquatica";"SPECIES"
"59";"rumex obtusifolius l.";"Rumex obtusifolius";97;"Rumex obtusifolius";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Rumex";"Rumex obtusifolius";"SPECIES"
"60";"trifolium pratense l.";"Trifolium pratense";99;"Trifolium pratense";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Trifolium";"Trifolium pratense";"SPECIES"
"61";"lemna minor l.";"Lemna minor";98;"Lemna minor";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Araceae";"Lemna";"Lemna minor";"SPECIES"
"62";"bellis perennis l.";"Bellis perennis";99;"Bellis perennis";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Bellis";"Bellis perennis";"SPECIES"
"63";"cirsium palustre (l.) scop.";"Cirsium palustre";97;"Cirsium palustre";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Cirsium";"Cirsium palustre";"SPECIES"
"64";"corylus avellana l.";"Corylus avellana";98;"Corylus avellana";"Plantae";"Tracheophyta";"Magnoliopsida";"Fagales";"Betulaceae";"Corylus";"Corylus avellana";"SPECIES"
"65";"crataegus laevigata (poir.) dc.";"Crataegus laevigata";99;"Crataegus laevigata";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Crataegus";"Crataegus laevigata";"SPECIES"
"66";"crataegus monogyna jacq.";"Crataegus monogyna";97;"Crataegus monogyna";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Crataegus";"Crataegus monogyna";"SPECIES"
"67";"potentilla reptans l.";"Potentilla reptans";97;"Potentilla reptans";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Potentilla";"Potentilla reptans";"SPECIES"
"68";"ranunculus sceleratus l.";"Ranunculus sceleratus";99;"Ranunculus sceleratus";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Ranunculus";"Ranunculus sceleratus";"SPECIES"
"69";"bromus hordeaceus subsp. hordeaceus";"Bromus hordeaceus hordeaceus";97;"Bromus hordeaceus hordeaceus";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Bromus";"Bromus hordeaceus";"SUBSPECIES"
"70";"cardamine amara l.";"Cardamine amara";98;"Cardamine amara";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Cardamine";"Cardamine amara";"SPECIES"
"71";"cirsium vulgare (savi) ten.";"Cirsium vulgare";97;"Cirsium vulgare";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Cirsium";"Cirsium vulgare";"SPECIES"
"72";"lysimachia vulgaris l.";"Lysimachia vulgaris";97;"Lysimachia vulgaris";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericales";"Primulaceae";"Lysimachia";"Lysimachia vulgaris";"SPECIES"
"73";"sparganium erectum l.";"Sparganium erectum";98;"Sparganium erectum";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Typhaceae";"Sparganium";"Sparganium erectum";"SPECIES"
"74";"carex acutiformis ehrh.";"Carex acutiformis";97;"Carex acutiformis";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex acutiformis";"SPECIES"
"75";"carex nigra var. nigra";"Carex nigra nigra";97;"Carex nigra nigra";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex nigra";"SUBSPECIES"
"76";"equisetum palustre l.";"Equisetum palustre";99;"Equisetum palustre";"Plantae";"Tracheophyta";"Polypodiopsida";"Equisetales";"Equisetaceae";"Equisetum";"Equisetum palustre";"SPECIES"
"77";"fagus sylvatica l.";"Fagus sylvatica";99;"Fagus sylvatica";"Plantae";"Tracheophyta";"Magnoliopsida";"Fagales";"Fagaceae";"Fagus";"Fagus sylvatica";"SPECIES"
"78";"galium odoratum (l.) scop.";"Galium odoratum";99;"Galium odoratum";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Galium";"Galium odoratum";"SPECIES"
"79";"lychnis flos-cuculi l.";"Lychnis flos-cuculi";98;"Lychnis flos-cuculi";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Silene";"Silene flos-cuculi";"SPECIES"
"80";"plantago lanceolata l.";"Plantago lanceolata";98;"Plantago lanceolata";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Plantaginaceae";"Plantago";"Plantago lanceolata";"SPECIES"
"81";"solanum dulcamara l.";"Solanum dulcamara";99;"Solanum dulcamara";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Solanum";"Solanum dulcamara";"SPECIES"
"82";"agrostis capillaris l.";"Agrostis capillaris";97;"Agrostis capillaris";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Agrostis";"Agrostis capillaris";"SPECIES"
"83";"anthoxanthum odoratum l.";"Anthoxanthum odoratum";99;"Anthoxanthum odoratum";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Anthoxanthum";"Anthoxanthum odoratum";"SPECIES"
"84";"caltha palustris l.";"Caltha palustris";99;"Caltha palustris";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Caltha";"Caltha palustris";"SPECIES"
"85";"juncus inflexus l.";"Juncus inflexus";98;"Juncus inflexus";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Juncus";"Juncus inflexus";"SPECIES"
"86";"elytrigia repens (l.) nevski";"Elytrigia repens";97;"Elytrigia repens";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Elymus";"Elymus repens";"SPECIES"
"87";"juncus conglomeratus l.";"Juncus conglomeratus";99;"Juncus conglomeratus";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Juncus";"Juncus conglomeratus";"SPECIES"
"88";"rubus idaeus l.";"Rubus idaeus";97;"Rubus idaeus";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Rubus";"Rubus idaeus";"SPECIES"
"89";"stellaria graminea l.";"Stellaria graminea";97;"Stellaria graminea";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Stellaria";"Stellaria graminea";"SPECIES"
"90";"carex vesicaria l.";"Carex vesicaria";97;"Carex vesicaria";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex vesicaria";"SPECIES"
"91";"melica uniflora retz.";"Melica uniflora";99;"Melica uniflora";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Melica";"Melica uniflora";"SPECIES"
"92";"rumex sanguineus l.";"Rumex sanguineus";97;"Rumex sanguineus";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Rumex";"Rumex sanguineus";"SPECIES"
"93";"salix viminalis l.";"Salix viminalis";97;"Salix viminalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Salicaceae";"Salix";"Salix viminalis";"SPECIES"
"94";"sambucus nigra l.";"Sambucus nigra";97;"Sambucus nigra";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Viburnaceae";"Sambucus";"Sambucus nigra";"SPECIES"
"95";"trifolium campestre schreb.";"Trifolium campestre";97;"Trifolium campestre";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Trifolium";"Trifolium campestre";"SPECIES"
"96";"arrhenatherum elatius (l.) p.beauv. ex j.presl & c.presl";"Arrhenatherum elatius";97;"Arrhenatherum elatius";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Arrhenatherum";"Arrhenatherum elatius";"SPECIES"
"97";"circaea lutetiana l.";"Circaea lutetiana";98;"Circaea lutetiana";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Circaea";"Circaea lutetiana";"SPECIES"
"98";"cynosurus cristatus l.";"Cynosurus cristatus";99;"Cynosurus cristatus";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cynosurus";"Cynosurus cristatus";"SPECIES"
"99";"glyceria maxima (hartm.) holmb.";"Glyceria maxima";99;"Glyceria maxima";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Glyceria";"Glyceria maxima";"SPECIES"
"100";"lathraea squamaria l.";"Lathraea squamaria";99;"Lathraea squamaria";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Orobanchaceae";"Lathraea";"Lathraea squamaria";"SPECIES"
"101";"primula veris l.";"Primula veris";97;"Primula veris";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericales";"Primulaceae";"Primula";"Primula veris";"SPECIES"
"102";"alisma plantago-aquatica l.";"Alisma plantago-aquatica";99;"Alisma plantago-aquatica";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Alismataceae";"Alisma";"Alisma plantago-aquatica";"SPECIES"
"103";"berula erecta (huds.) coville";"Berula erecta";99;"Berula erecta";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Berula";"Berula erecta";"SPECIES"
"104";"carex leporina l.";"Carex leporina";97;"Carex leporina";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex leporina";"SPECIES"
"105";"carex sylvatica huds.";"Carex sylvatica";97;"Carex sylvatica";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex sylvatica";"SPECIES"
"106";"lycopus europaeus l.";"Lycopus europaeus";97;"Lycopus europaeus";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Lycopus";"Lycopus europaeus";"SPECIES"
"107";"phleum pratense subsp. pratense";"Phleum pratense pratense";97;"Phleum pratense pratense";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Phleum";"Phleum pratense";"SUBSPECIES"
"108";"prunus spinosa l.";"Prunus spinosa";97;"Prunus spinosa";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Prunus";"Prunus spinosa";"SPECIES"
"109";"stachys sylvatica l.";"Stachys sylvatica";98;"Stachys sylvatica";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Stachys";"Stachys sylvatica";"SPECIES"
"110";"valeriana dioica l.";"Valeriana dioica";97;"Valeriana dioica";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Valeriana";"Valeriana dioica";"SPECIES"
"111";"vicia cracca l.";"Vicia cracca";98;"Vicia cracca";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Vicia";"Vicia cracca";"SPECIES"
"112";"achillea millefolium l.";"Achillea millefolium";98;"Achillea millefolium";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Achillea";"Achillea millefolium";"SPECIES"
"113";"aegopodium podagraria l.";"Aegopodium podagraria";99;"Aegopodium podagraria";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Aegopodium";"Aegopodium podagraria";"SPECIES"
"114";"carex remota l.";"Carex remota";99;"Carex remota";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex remota";"SPECIES"
"115";"chrysosplenium oppositifolium l.";"Chrysosplenium oppositifolium";97;"Chrysosplenium oppositifolium";"Plantae";"Tracheophyta";"Magnoliopsida";"Saxifragales";"Saxifragaceae";"Chrysosplenium";"Chrysosplenium oppositifolium";"SPECIES"
"116";"luzula campestris (l.) dc.";"Luzula campestris";98;"Luzula campestris";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Luzula";"Luzula campestris";"SPECIES"
"117";"lythrum salicaria l.";"Lythrum salicaria";99;"Lythrum salicaria";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtales";"Lythraceae";"Lythrum";"Lythrum salicaria";"SPECIES"
"118";"milium effusum l.";"Milium effusum";97;"Milium effusum";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Milium";"Milium effusum";"SPECIES"
"119";"potamogeton natans l.";"Potamogeton natans";98;"Potamogeton natans";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Potamogetonaceae";"Potamogeton";"Potamogeton natans";"SPECIES"
"120";"quercus robur l.";"Quercus robur";97;"Quercus robur";"Plantae";"Tracheophyta";"Magnoliopsida";"Fagales";"Fagaceae";"Quercus";"Quercus robur";"SPECIES"
"121";"schedonorus giganteus (l.) holub";"Schedonorus giganteus";97;"Schedonorus giganteus";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Lolium";"Lolium giganteum";"SPECIES"
"122";"stellaria alsine grimm";"Stellaria alsine";97;"Stellaria alsine";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Stellaria";"Stellaria alsine";"SPECIES"
"123";"tussilago farfara l.";"Tussilago farfara";99;"Tussilago farfara";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Tussilago";"Tussilago farfara";"SPECIES"
"124";"viburnum opulus l.";"Viburnum opulus";99;"Viburnum opulus";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Viburnaceae";"Viburnum";"Viburnum opulus";"SPECIES"
"125";"acer platanoides l.";"Acer platanoides";99;"Acer platanoides";"Plantae";"Tracheophyta";"Magnoliopsida";"Sapindales";"Sapindaceae";"Acer";"Acer platanoides";"SPECIES"
"126";"campanula trachelium l.";"Campanula trachelium";98;"Campanula trachelium";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Campanulaceae";"Campanula";"Campanula trachelium";"SPECIES"
"127";"dactylorhiza majalis (rchb.) p.f.hunt & summerh.";"Dactylorhiza majalis";97;"Dactylorhiza majalis";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Orchidaceae";"Dactylorhiza";"Dactylorhiza majalis";"SPECIES"
"128";"galium mollugo l.";"Galium mollugo";99;"Galium mollugo";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Galium";"Galium mollugo";"SPECIES"
"129";"hypericum perforatum l.";"Hypericum perforatum";99;"Hypericum perforatum";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Hypericaceae";"Hypericum";"Hypericum perforatum";"SPECIES"
"130";"lotus corniculatus l.";"Lotus corniculatus";99;"Lotus corniculatus";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Lotus";"Lotus corniculatus";"SPECIES"
"131";"phragmites australis (cav.) trin. ex steud.";"Phragmites australis";97;"Phragmites australis";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Phragmites";"Phragmites australis";"SPECIES"
"132";"pilosella aurantiaca (l.) f.w.schultz & sch.bip.";"Pilosella aurantiaca";99;"Pilosella aurantiaca";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Pilosella";"Pilosella aurantiaca";"SPECIES"
"133";"salix pentandra l.";"Salix pentandra";97;"Salix pentandra";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Salicaceae";"Salix";"Salix pentandra";"SPECIES"
"134";"ulmus glabra huds.";"Ulmus glabra";97;"Ulmus glabra";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Ulmaceae";"Ulmus";"Ulmus glabra";"SPECIES"
