"";"scientificName";"decimalLatitude";"decimalLongitude";"family";"genus";"species"
"68";"Filipendula ulmaria (L.) Maxim.";56,07935;10,200242;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"69";"Filipendula ulmaria (L.) Maxim.";56,073284;10,216722;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"70";"Filipendula ulmaria (L.) Maxim.";56,065944;10,208754;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"71";"Filipendula ulmaria (L.) Maxim.";56,068394;10,189123;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"72";"Filipendula ulmaria (L.) Maxim.";56,079808;10,216967;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"73";"Filipendula ulmaria (L.) Maxim.";56,052734;10,212807;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"74";"Filipendula ulmaria (L.) Maxim.";56,08;10,2175;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"75";"Filipendula ulmaria (L.) Maxim.";56,068505;10,164342;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"76";"Filipendula ulmaria (L.) Maxim.";56,079254;10,2165;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"77";"Filipendula ulmaria (L.) Maxim.";56,082295;10,21676;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"78";"Filipendula ulmaria (L.) Maxim.";56,059314;10,18862;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"79";"Filipendula ulmaria (L.) Maxim.";56,068082;10,185981;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"80";"Filipendula ulmaria (L.) Maxim.";56,055323;10,184161;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"81";"Filipendula ulmaria (L.) Maxim.";56,063629;10,170476;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"82";"Filipendula ulmaria (L.) Maxim.";56,071394;10,205811;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"83";"Filipendula ulmaria (L.) Maxim.";56,07257;10,209591;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"84";"Filipendula ulmaria (L.) Maxim.";56,069953;10,207051;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"85";"Filipendula ulmaria (L.) Maxim.";56,072436;10,216832;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"86";"Filipendula ulmaria (L.) Maxim.";56,071982;10,216861;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"87";"Filipendula ulmaria (L.) Maxim.";56,072742;10,216971;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"88";"Filipendula ulmaria (L.) Maxim.";56,069505;10,189382;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"89";"Filipendula ulmaria (L.) Maxim.";56,079292;10,200273;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"90";"Filipendula ulmaria (L.) Maxim.";56,078759;10,179806;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"91";"Filipendula ulmaria (L.) Maxim.";56,078644;10,184587;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"92";"Filipendula ulmaria (L.) Maxim.";56,08411;10,190105;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"93";"Filipendula ulmaria (L.) Maxim.";56,079524;10,203205;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"94";"Filipendula ulmaria (L.) Maxim.";56,07967;10,196557;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"95";"Filipendula ulmaria (L.) Maxim.";56,08085;10,190616;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"96";"Filipendula ulmaria (L.) Maxim.";56,082863;10,193889;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"97";"Filipendula ulmaria (L.) Maxim.";56,067315;10,183961;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"98";"Filipendula ulmaria (L.) Maxim.";56,082362;10,196913;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"99";"Filipendula ulmaria (L.) Maxim.";56,052258;10,211909;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"100";"Filipendula ulmaria (L.) Maxim.";56,055384;10,182316;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"101";"Filipendula ulmaria (L.) Maxim.";56,080907;10,213451;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"102";"Filipendula ulmaria (L.) Maxim.";56,063556;10,170616;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"103";"Filipendula ulmaria (L.) Maxim.";56,059487;10,189299;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"104";"Filipendula ulmaria (L.) Maxim.";56,066782;10,183757;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"105";"Filipendula ulmaria (L.) Maxim.";56,071438;10,205925;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"106";"Filipendula ulmaria (L.) Maxim.";56,072652;10,208549;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"107";"Filipendula ulmaria (L.) Maxim.";56,070666;10,210499;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"108";"Filipendula ulmaria (L.) Maxim.";56,073931;10,217441;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"109";"Filipendula ulmaria (L.) Maxim.";56,070976;10,210858;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"110";"Filipendula ulmaria (L.) Maxim.";56,070471;10,216561;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"111";"Filipendula ulmaria (L.) Maxim.";56,050504;10,156846;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"112";"Filipendula ulmaria (L.) Maxim.";56,07151;10,205879;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"113";"Filipendula ulmaria (L.) Maxim.";56,078759;10,179806;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"114";"Filipendula ulmaria (L.) Maxim.";56,078698;10,184572;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"115";"Filipendula ulmaria (L.) Maxim.";56,079529;10,199975;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"116";"Filipendula ulmaria (L.) Maxim.";56,07957;10,201262;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"117";"Filipendula ulmaria (L.) Maxim.";56,066384;10,181109;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"118";"Epilobium hirsutum L.";56,064637;10,193202;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"119";"Epilobium hirsutum L.";56,064858;10,206544;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"120";"Epilobium hirsutum L.";56,065944;10,208754;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"121";"Epilobium hirsutum L.";56,079283;10,185586;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"122";"Epilobium hirsutum L.";56,059136;10,217469;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"123";"Epilobium hirsutum L.";56,052;10,16086;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"124";"Epilobium hirsutum L.";56,052734;10,212807;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"125";"Epilobium hirsutum L.";56,048506;10,204344;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"126";"Epilobium hirsutum L.";56,060849;10,208042;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"127";"Epilobium hirsutum L.";56,075427;10,154979;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"128";"Epilobium hirsutum L.";56,073951;10,154553;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"129";"Epilobium hirsutum L.";56,075516;10,161875;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"130";"Epilobium hirsutum L.";56,073633;10,160258;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"131";"Epilobium hirsutum L.";56,072462;10,163061;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"132";"Epilobium hirsutum L.";56,079458;10,197643;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"133";"Epilobium hirsutum L.";56,059367;10,188819;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"134";"Epilobium hirsutum L.";56,068082;10,185981;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"135";"Epilobium hirsutum L.";56,054841;10,166739;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"136";"Epilobium hirsutum L.";56,055323;10,184161;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"137";"Epilobium hirsutum L.";56,063603;10,170409;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"138";"Epilobium hirsutum L.";56,070666;10,210499;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"139";"Epilobium hirsutum L.";56,071085;10,211121;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"140";"Epilobium hirsutum L.";56,06983;10,20676;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"141";"Epilobium hirsutum L.";56,05224;10,210937;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"142";"Epilobium hirsutum L.";56,051234;10,17019;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"143";"Epilobium hirsutum L.";56,079386;10,199309;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"144";"Epilobium hirsutum L.";56,079052;10,180454;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"145";"Epilobium hirsutum L.";56,078644;10,184587;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"146";"Epilobium hirsutum L.";56,08411;10,190105;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"147";"Epilobium hirsutum L.";56,082899;10,189229;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"148";"Epilobium hirsutum L.";56,07967;10,196557;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"149";"Epilobium hirsutum L.";56,050531;10,156879;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"150";"Epilobium hirsutum L.";56,06798;10,185607;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"151";"Epilobium hirsutum L.";56,052191;10,212322;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"152";"Epilobium hirsutum L.";56,055406;10,183842;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"153";"Epilobium hirsutum L.";56,080907;10,213451;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"154";"Epilobium hirsutum L.";56,059367;10,188819;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"155";"Epilobium hirsutum L.";56,066384;10,181109;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"156";"Epilobium hirsutum L.";56,071249;10,205238;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"157";"Epilobium hirsutum L.";56,072779;10,208351;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"158";"Epilobium hirsutum L.";56,069958;10,207437;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"159";"Epilobium hirsutum L.";56,073931;10,217441;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"160";"Epilobium hirsutum L.";56,071224;10,21679;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"161";"Epilobium hirsutum L.";56,073633;10,160258;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"162";"Epilobium hirsutum L.";56,050504;10,156846;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"163";"Epilobium hirsutum L.";56,048438;10,204543;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"164";"Epilobium hirsutum L.";56,057524;10,164777;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"165";"Epilobium hirsutum L.";56,079171;10,181132;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"166";"Epilobium hirsutum L.";56,078698;10,184572;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"167";"Epilobium hirsutum L.";56,079915;10,211674;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"168";"Epilobium hirsutum L.";56,048496;10,204697;"Onagraceae";"Epilobium";"Epilobium hirsutum"
"169";"Poa trivialis L.";56,052734;10,212807;"Poaceae";"Poa";"Poa trivialis"
"170";"Poa trivialis L.";56,07922;10,215921;"Poaceae";"Poa";"Poa trivialis"
"171";"Poa trivialis L.";56,059314;10,18862;"Poaceae";"Poa";"Poa trivialis"
"172";"Poa trivialis L.";56,068082;10,185981;"Poaceae";"Poa";"Poa trivialis"
"173";"Poa trivialis L.";56,054792;10,16701;"Poaceae";"Poa";"Poa trivialis"
"174";"Poa trivialis L.";56,055323;10,184161;"Poaceae";"Poa";"Poa trivialis"
"175";"Poa trivialis L.";56,06372;10,168233;"Poaceae";"Poa";"Poa trivialis"
"176";"Poa trivialis L.";56,063603;10,170409;"Poaceae";"Poa";"Poa trivialis"
"177";"Poa trivialis L.";56,071394;10,205811;"Poaceae";"Poa";"Poa trivialis"
"178";"Poa trivialis L.";56,07257;10,209591;"Poaceae";"Poa";"Poa trivialis"
"179";"Poa trivialis L.";56,069953;10,207051;"Poaceae";"Poa";"Poa trivialis"
"180";"Poa trivialis L.";56,071085;10,211121;"Poaceae";"Poa";"Poa trivialis"
"181";"Poa trivialis L.";56,072436;10,216832;"Poaceae";"Poa";"Poa trivialis"
"182";"Poa trivialis L.";56,071982;10,216861;"Poaceae";"Poa";"Poa trivialis"
"183";"Poa trivialis L.";56,072742;10,216971;"Poaceae";"Poa";"Poa trivialis"
"184";"Poa trivialis L.";56,079292;10,200273;"Poaceae";"Poa";"Poa trivialis"
"185";"Poa trivialis L.";56,079052;10,180454;"Poaceae";"Poa";"Poa trivialis"
"186";"Poa trivialis L.";56,078644;10,184587;"Poaceae";"Poa";"Poa trivialis"
"187";"Poa trivialis L.";56,07957;10,187719;"Poaceae";"Poa";"Poa trivialis"
"188";"Poa trivialis L.";56,082899;10,189229;"Poaceae";"Poa";"Poa trivialis"
"189";"Poa trivialis L.";56,079524;10,203205;"Poaceae";"Poa";"Poa trivialis"
"190";"Poa trivialis L.";56,076038;10,205674;"Poaceae";"Poa";"Poa trivialis"
"191";"Poa trivialis L.";56,07967;10,196557;"Poaceae";"Poa";"Poa trivialis"
"192";"Poa trivialis L.";56,08085;10,190616;"Poaceae";"Poa";"Poa trivialis"
"193";"Poa trivialis L.";56,078292;10,197535;"Poaceae";"Poa";"Poa trivialis"
"194";"Poa trivialis L.";56,050957;10,154467;"Poaceae";"Poa";"Poa trivialis"
"195";"Poa trivialis L.";56,050254;10,158509;"Poaceae";"Poa";"Poa trivialis"
"196";"Poa trivialis L.";56,06798;10,185607;"Poaceae";"Poa";"Poa trivialis"
"197";"Poa trivialis L.";56,07317;10,215329;"Poaceae";"Poa";"Poa trivialis"
"198";"Poa trivialis L.";56,080907;10,213451;"Poaceae";"Poa";"Poa trivialis"
"199";"Poa trivialis L.";56,063629;10,170476;"Poaceae";"Poa";"Poa trivialis"
"200";"Poa trivialis L.";56,06372;10,168233;"Poaceae";"Poa";"Poa trivialis"
"201";"Poa trivialis L.";56,059367;10,188819;"Poaceae";"Poa";"Poa trivialis"
"202";"Poa trivialis L.";56,066384;10,181109;"Poaceae";"Poa";"Poa trivialis"
"203";"Poa trivialis L.";56,071438;10,205925;"Poaceae";"Poa";"Poa trivialis"
"204";"Poa trivialis L.";56,072652;10,208549;"Poaceae";"Poa";"Poa trivialis"
"205";"Poa trivialis L.";56,070666;10,210499;"Poaceae";"Poa";"Poa trivialis"
"206";"Poa trivialis L.";56,073931;10,217441;"Poaceae";"Poa";"Poa trivialis"
"207";"Poa trivialis L.";56,071224;10,21679;"Poaceae";"Poa";"Poa trivialis"
"208";"Poa trivialis L.";56,073114;10,215877;"Poaceae";"Poa";"Poa trivialis"
"209";"Poa trivialis L.";56,050645;10,155229;"Poaceae";"Poa";"Poa trivialis"
"210";"Poa trivialis L.";56,050254;10,158509;"Poaceae";"Poa";"Poa trivialis"
"211";"Poa trivialis L.";56,08088;10,190956;"Poaceae";"Poa";"Poa trivialis"
"212";"Poa trivialis L.";56,07151;10,205879;"Poaceae";"Poa";"Poa trivialis"
"213";"Poa trivialis L.";56,078759;10,179806;"Poaceae";"Poa";"Poa trivialis"
"214";"Poa trivialis L.";56,0831;10,189384;"Poaceae";"Poa";"Poa trivialis"
"215";"Poa trivialis L.";56,078791;10,196353;"Poaceae";"Poa";"Poa trivialis"
"216";"Poa trivialis L.";56,078698;10,184572;"Poaceae";"Poa";"Poa trivialis"
"217";"Poa trivialis L.";56,07957;10,201262;"Poaceae";"Poa";"Poa trivialis"
"218";"Poa trivialis L.";56,076294;10,205498;"Poaceae";"Poa";"Poa trivialis"
"219";"Urtica dioica L.";56,071136;10,174578;"Urticaceae";"Urtica";"Urtica dioica"
"220";"Urtica dioica L.";56,059136;10,217469;"Urticaceae";"Urtica";"Urtica dioica"
"221";"Urtica dioica L.";56,052012;10,212634;"Urticaceae";"Urtica";"Urtica dioica"
"222";"Urtica dioica L.";56,079254;10,2165;"Urticaceae";"Urtica";"Urtica dioica"
"223";"Urtica dioica L.";56,082295;10,21676;"Urticaceae";"Urtica";"Urtica dioica"
"224";"Urtica dioica L.";56,068082;10,185981;"Urticaceae";"Urtica";"Urtica dioica"
"225";"Urtica dioica L.";56,054841;10,166739;"Urticaceae";"Urtica";"Urtica dioica"
"226";"Urtica dioica L.";56,055348;10,182331;"Urticaceae";"Urtica";"Urtica dioica"
"227";"Urtica dioica L.";56,06372;10,168233;"Urticaceae";"Urtica";"Urtica dioica"
"228";"Urtica dioica L.";56,063603;10,170409;"Urticaceae";"Urtica";"Urtica dioica"
"229";"Urtica dioica L.";56,070666;10,210499;"Urticaceae";"Urtica";"Urtica dioica"
"230";"Urtica dioica L.";56,073681;10,217234;"Urticaceae";"Urtica";"Urtica dioica"
"231";"Urtica dioica L.";56,071224;10,21679;"Urticaceae";"Urtica";"Urtica dioica"
"232";"Urtica dioica L.";56,072742;10,216971;"Urticaceae";"Urtica";"Urtica dioica"
"233";"Urtica dioica L.";56,066772;10,197938;"Urticaceae";"Urtica";"Urtica dioica"
"234";"Urtica dioica L.";56,051245;10,170474;"Urticaceae";"Urtica";"Urtica dioica"
"235";"Urtica dioica L.";56,079386;10,199309;"Urticaceae";"Urtica";"Urtica dioica"
"236";"Urtica dioica L.";56,079052;10,180454;"Urticaceae";"Urtica";"Urtica dioica"
"237";"Urtica dioica L.";56,078644;10,184587;"Urticaceae";"Urtica";"Urtica dioica"
"238";"Urtica dioica L.";56,08411;10,190105;"Urticaceae";"Urtica";"Urtica dioica"
"239";"Urtica dioica L.";56,082964;10,189268;"Urticaceae";"Urtica";"Urtica dioica"
"240";"Urtica dioica L.";56,079522;10,202571;"Urticaceae";"Urtica";"Urtica dioica"
"241";"Urtica dioica L.";56,076038;10,205674;"Urticaceae";"Urtica";"Urtica dioica"
"242";"Urtica dioica L.";56,07967;10,196557;"Urticaceae";"Urtica";"Urtica dioica"
"243";"Urtica dioica L.";56,079897;10,191601;"Urticaceae";"Urtica";"Urtica dioica"
"244";"Urtica dioica L.";56,050254;10,158509;"Urticaceae";"Urtica";"Urtica dioica"
"245";"Urtica dioica L.";56,067315;10,183961;"Urticaceae";"Urtica";"Urtica dioica"
"246";"Urtica dioica L.";56,082362;10,196913;"Urticaceae";"Urtica";"Urtica dioica"
"247";"Urtica dioica L.";56,07317;10,215329;"Urticaceae";"Urtica";"Urtica dioica"
"248";"Urtica dioica L.";56,080539;10,19676;"Urticaceae";"Urtica";"Urtica dioica"
"249";"Urtica dioica L.";56,055384;10,182316;"Urticaceae";"Urtica";"Urtica dioica"
"250";"Urtica dioica L.";56,080907;10,213451;"Urticaceae";"Urtica";"Urtica dioica"
"251";"Urtica dioica L.";56,063556;10,170616;"Urticaceae";"Urtica";"Urtica dioica"
"252";"Urtica dioica L.";56,063957;10,169022;"Urticaceae";"Urtica";"Urtica dioica"
"253";"Urtica dioica L.";56,059487;10,189299;"Urticaceae";"Urtica";"Urtica dioica"
"254";"Urtica dioica L.";56,066384;10,181109;"Urticaceae";"Urtica";"Urtica dioica"
"255";"Urtica dioica L.";56,071249;10,205238;"Urticaceae";"Urtica";"Urtica dioica"
"256";"Urtica dioica L.";56,072779;10,208351;"Urticaceae";"Urtica";"Urtica dioica"
"257";"Urtica dioica L.";56,070666;10,210499;"Urticaceae";"Urtica";"Urtica dioica"
"258";"Urtica dioica L.";56,073931;10,217441;"Urticaceae";"Urtica";"Urtica dioica"
"259";"Urtica dioica L.";56,071224;10,21679;"Urticaceae";"Urtica";"Urtica dioica"
"260";"Urtica dioica L.";56,073114;10,215877;"Urticaceae";"Urtica";"Urtica dioica"
"261";"Urtica dioica L.";56,079171;10,181132;"Urticaceae";"Urtica";"Urtica dioica"
"262";"Urtica dioica L.";56,083129;10,189202;"Urticaceae";"Urtica";"Urtica dioica"
"263";"Urtica dioica L.";56,079933;10,191757;"Urticaceae";"Urtica";"Urtica dioica"
"264";"Urtica dioica L.";56,078698;10,184572;"Urticaceae";"Urtica";"Urtica dioica"
"265";"Urtica dioica L.";56,079386;10,199309;"Urticaceae";"Urtica";"Urtica dioica"
"266";"Urtica dioica L.";56,07957;10,201262;"Urticaceae";"Urtica";"Urtica dioica"
"267";"Urtica dioica L.";56,066384;10,181109;"Urticaceae";"Urtica";"Urtica dioica"
"268";"Ranunculus repens L.";56,079269;10,199523;"Ranunculaceae";"Ranunculus";"Ranunculus repens"
"269";"Ranunculus repens L.";56,084249;10,207471;"Ranunculaceae";"Ranunculus";"Ranunculus repens"
